cultivo,anio,campania,provincia,provincia_id,departamento,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
yerba mate,1970,1969/1970,Corrientes,18,Ituzaingó,18084,3470,1106,2375,2147
yerba mate,1970,1969/1970,Corrientes,18,Santo Tomé,18168,5205,1661,3564,2146
yerba mate,1970,1969/1970,Misiones,54,Apóstoles,54007,11784,3052,5150,1687
yerba mate,1970,1969/1970,Misiones,54,Cainguás,54014,6078,1566,3568,2278
yerba mate,1970,1969/1970,Misiones,54,Candelaria,54021,3298,872,1020,1170
yerba mate,1970,1969/1970,Misiones,54,Capital,54028,2346,444,486,1095
yerba mate,1970,1969/1970,Misiones,54,Concepción,54035,4161,1096,1796,1639
yerba mate,1970,1969/1970,Misiones,54,Eldorado,54042,10676,3059,7221,2361
yerba mate,1970,1969/1970,Misiones,54,General Manuel Belgrano,54049,30,9,9,1000
yerba mate,1970,1969/1970,Misiones,54,Guaraní,54056,383,134,284,2119
yerba mate,1970,1969/1970,Misiones,54,Iguazú,54063,5244,1510,3453,2287
yerba mate,1970,1969/1970,Misiones,54,Leandro N. Alem,54070,10332,2703,5005,1852
yerba mate,1970,1969/1970,Misiones,54,Libertador General San Martín,54077,9460,2275,6438,2830
yerba mate,1970,1969/1970,Misiones,54,Montecarlo,54084,6817,1743,5268,3022
yerba mate,1970,1969/1970,Misiones,54,Oberá,54091,23455,6437,16913,2627
yerba mate,1970,1969/1970,Misiones,54,San Ignacio,54098,18738,4877,11958,2452
yerba mate,1970,1969/1970,Misiones,54,San Javier,54105,3131,786,1805,2296
yerba mate,1970,1969/1970,Misiones,54,San Pedro,54112,4,1,1,1000
yerba mate,1970,1969/1970,Misiones,54,25 de Mayo,54119,908,227,474,2088
yerba mate,1971,1970/1971,Corrientes,18,Ituzaingó,18084,4314,1301,3299,2536
yerba mate,1971,1970/1971,Corrientes,18,Santo Tomé,18168,6471,1954,4949,2533
yerba mate,1971,1970/1971,Misiones,54,Apóstoles,54007,12316,3576,6086,1702
yerba mate,1971,1970/1971,Misiones,54,Cainguás,54014,6537,1694,4457,2631
yerba mate,1971,1970/1971,Misiones,54,Candelaria,54021,3460,1021,1144,1120
yerba mate,1971,1970/1971,Misiones,54,Capital,54028,2641,476,634,1332
yerba mate,1971,1970/1971,Misiones,54,Concepción,54035,4458,1214,2287,1884
yerba mate,1971,1970/1971,Misiones,54,Eldorado,54042,10313,3425,7993,2334
yerba mate,1971,1970/1971,Misiones,54,General Manuel Belgrano,54049,30,8,9,1125
yerba mate,1971,1970/1971,Misiones,54,Guaraní,54056,436,149,368,2470
yerba mate,1971,1970/1971,Misiones,54,Iguazú,54063,4362,1090,3144,2884
yerba mate,1971,1970/1971,Misiones,54,Leandro N. Alem,54070,10296,2974,5785,1945
yerba mate,1971,1970/1971,Misiones,54,Libertador General San Martín,54077,8855,2419,7186,2971
yerba mate,1971,1970/1971,Misiones,54,Montecarlo,54084,6552,1971,5785,2935
yerba mate,1971,1970/1971,Misiones,54,Oberá,54091,24579,7150,20593,2880
yerba mate,1971,1970/1971,Misiones,54,San Ignacio,54098,18109,5172,13993,2706
yerba mate,1971,1970/1971,Misiones,54,San Javier,54105,3378,948,2187,2307
yerba mate,1971,1970/1971,Misiones,54,San Pedro,54112,4,1,1,1000
yerba mate,1971,1970/1971,Misiones,54,25 de Mayo,54119,946,275,560,2036
